1bin,1count,1m,1std,2bin,2count,2m,2std,3bin,3count,3m,3std,4bin,4count,4m,4std,5bin,5count,5m,5std,6bin,6count,6m,6std,7bin,7count,7m,7std,8bin,8count,8m,8std,9bin,9count,9m,9std,10bin,10count,10m,10std,11bin,11count,11m,11std,12bin,12count,12m,12std
0,,59.93696296,19.6889466,0,,79.0682963,25.0269035,0,,64.47896296,18.94840192,0,,48.44755556,14.47355,0,,47.38837037,15.05800145,0,,42.87740741,15.83367536,0,,57.91111111,25.29746111,0,,67.53340741,27.02441423,0,,61.66548148,23.47981569,0,,24.61303704,8.398729558,0,,34.46281481,12.50810882,0,,45.2877037,23.22499777
7,0,,,9,1,,,7,0,,,6,0,,,5,0,,,5,1,,,7,3,,,8,1,,,7,1,,,3,0,,,4,1,,,6,0,,
14,1,,,18,2,,,15,0,,,11,0,,,11,0,,,10,1,,,15,0,,,16,1,,,15,0,,,6,0,,,8,0,,,12,2,,
21,0,,,28,2,,,22,1,,,17,0,,,16,0,,,15,2,,,22,0,,,25,1,,,22,1,,,8,0,,,12,0,,,18,4,,
28,2,,,37,0,,,29,0,,,22,0,,,21,0,,,20,0,,,29,0,,,33,1,,,30,1,,,11,0,,,16,0,,,24,0,,
35,1,,,46,0,,,37,1,,,28,1,,,27,0,,,25,0,,,37,4,,,41,0,,,37,0,,,14,0,,,21,0,,,30,0,,
41,0,,,55,3,,,44,2,,,33,0,,,32,0,,,30,0,,,44,1,,,49,3,,,44,4,,,17,0,,,25,3,,,36,3,,
48,2,,,64,1,,,51,2,,,39,3,,,37,1,,,35,1,,,51,4,,,57,1,,,52,2,,,20,0,,,29,0,,,42,0,,
55,4,,,74,5,,,58,1,,,44,3,,,42,2,,,40,2,,,58,3,,,66,2,,,59,1,,,22,0,,,33,1,,,48,1,,
62,1,,,83,11,,,66,5,,,50,8,,,48,1,,,45,2,,,66,9,,,74,8,,,67,6,,,25,1,,,37,12,,,54,3,,
69,82,,,92,81,,,73,82,,,55,68,,,53,43,,,50,61,,,73,73,,,82,82,,,74,100,,,28,69,,,41,79,,,60,71,,
